City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Katsuura,JP,67.14,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
269,Mapastepec,MX,76.93,overcast clouds,15.4333,-92.9,Hotel San Carlos
270,Los Llanos De Aridane,ES,69.55,clear sky,28.6585,-17.9182,Valle Aridane
272,Puebloviejo,CO,79.03,broken clouds,10.9938,-74.2844,The Journey Hostel
274,Guarapari,BR,72.9,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
276,Fortuna,US,66.97,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
278,Luangwa,ZM,72.43,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
279,Hualmay,PE,61.5,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
281,Pisco,PE,61.02,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
286,Samfya,ZM,69.37,clear sky,-11.3649,29.5565,Chita Lodge Samfya
293,Bairiki,KI,78.8,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
295,Calamar,CO,76.15,broken clouds,10.2511,-74.9146,Hostal Katyalex
297,Muncar,ID,79.0,broken clouds,-8.4333,114.3333,Zaky Homestay
300,Takaungu,KE,72.9,broken clouds,-3.6837,39.8566,Takaungu House
304,Tukrah,LY,78.8,broken clouds,32.5341,20.5791,Lagrota restaurant
307,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
308,Ganzhou,CN,72.5,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
311,Dodoma,TZ,62.82,few clouds,-6.1722,35.7395,Royal Village Hotel
312,Mujiayingzi,CN,64.67,clear sky,42.1167,118.7833,Jinjiang Hotel
313,Alofi,NU,76.46,light rain,-19.0595,-169.9187,Taloa Heights
314,Blackwater,AU,75.22,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
321,Bam,IR,79.95,clear sky,29.106,58.357,Bam Tourist Hotel
322,Teknaf,BD,78.04,scattered clouds,20.8624,92.3058,Forestry Guesthouse
323,Santiago Del Estero,AR,63.73,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
325,Umirim,BR,76.03,broken clouds,-3.6772,-39.3503,RECANTO DOS FEITORES
326,Iquitos,PE,71.51,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
327,Gisborne,NZ,63.73,overcast clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
330,Pochutla,MX,77.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
331,Santa Marta,CO,78.89,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
332,Talara,PE,64.45,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
