City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
96,Severo-Kurilsk,RU,50.6789,156.125,51.84,65,90,16.15,overcast clouds
97,Pangnirtung,CA,66.1451,-65.7125,33.39,82,16,1.54,few clouds
98,Flinders,AU,-34.5833,150.8552,70.05,77,100,8.01,overcast clouds
99,Salalah,OM,17.0151,54.0924,76.59,84,97,6.89,overcast clouds
100,Victor Harbor,AU,-35.5667,138.6167,59.0,91,43,4.0,scattered clouds
101,Guerrero Negro,MX,27.9769,-114.0611,72.84,75,18,15.88,few clouds
102,Maceio,BR,-9.6658,-35.7353,72.84,88,0,4.61,clear sky
103,Bulembu,SZ,-25.9667,31.1333,53.35,86,100,1.99,overcast clouds
104,Yerbogachen,RU,61.2767,108.0108,40.89,92,100,8.1,light rain
105,Busselton,AU,-33.65,115.3333,61.66,67,41,18.84,scattered clouds
106,Nelson Bay,AU,-32.7167,152.15,70.0,75,100,17.0,overcast clouds
107,Venice,US,27.0998,-82.4543,81.0,80,20,8.05,few clouds
108,Barrow,US,71.2906,-156.7887,43.05,73,60,6.53,broken clouds
109,Bandarbeyla,SO,9.4942,50.8122,78.75,80,7,17.52,clear sky
110,Mahebourg,MU,-20.4081,57.7,70.25,83,40,12.66,scattered clouds
111,Chuy,UY,-33.6971,-53.4616,50.05,82,100,5.88,overcast clouds
112,Adre,TD,13.4667,22.2,76.95,61,87,3.13,overcast clouds
113,Leningradskiy,RU,69.3833,178.4167,38.01,67,3,15.66,clear sky
114,Zhezkazgan,KZ,47.8043,67.7144,48.18,23,0,8.95,clear sky
115,Souillac,MU,-20.5167,57.5167,70.18,83,40,12.66,light rain
116,San Joaquin,US,37.9333,-121.3011,79.11,53,10,6.85,clear sky
117,Lulea,SE,65.5842,22.1547,30.27,93,16,2.3,few clouds
118,Suzhou,CN,31.3114,120.6181,68.83,65,100,7.81,overcast clouds
119,Emerald,AU,-23.5333,148.1667,74.34,73,100,8.57,overcast clouds
120,Altay,CN,47.8667,88.1167,57.87,20,0,4.14,clear sky
121,Mar Del Plata,AR,-38.0023,-57.5575,49.87,77,98,3.0,overcast clouds
122,Port-Gentil,GA,-0.7193,8.7815,76.66,80,100,8.97,overcast clouds
123,Lesnoye,RU,58.2841,35.5158,46.22,96,100,2.75,overcast clouds
124,Iqaluit,CA,63.7506,-68.5145,38.93,100,100,3.44,light rain
125,Ancud,CL,-41.8697,-73.8203,43.23,88,87,4.5,overcast clouds
126,Fairbanks,US,64.8378,-147.7164,48.6,81,98,2.17,overcast clouds
127,Brae,GB,60.3964,-1.353,55.89,92,100,12.86,light rain
128,Traverse City,US,44.7631,-85.6206,71.71,70,75,4.61,broken clouds
129,Saint-Joseph,RE,-21.3667,55.6167,68.38,84,58,15.68,light rain
130,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,88,0,2.3,clear sky
131,Caravelas,BR,-17.7125,-39.2481,72.36,84,39,9.75,scattered clouds
132,Hervey Bay,AU,-25.2986,152.8535,76.01,66,25,5.01,scattered clouds
133,Dogondoutchi,NE,13.6393,4.0287,79.86,73,40,6.35,scattered clouds
134,Hofn,IS,64.2539,-15.2082,51.87,100,100,11.86,moderate rain
135,Norman Wells,CA,65.282,-126.8329,59.04,44,75,0.0,broken clouds
136,Kepanjen,ID,-8.1303,112.5727,77.77,79,100,4.18,overcast clouds
137,Nemuro,JP,43.3236,145.575,57.81,58,100,5.66,overcast clouds
138,Constitucion,CL,-35.3333,-72.4167,45.63,83,0,5.73,clear sky
139,Quatre Cocos,MU,-20.2078,57.7625,70.09,81,51,18.45,light rain
140,Kasane,BW,-17.8167,25.15,68.92,17,3,5.5,clear sky
141,San Patricio,US,28.017,-97.5169,86.09,62,3,9.93,clear sky
142,Bundaberg,AU,-24.85,152.35,76.21,68,16,4.0,few clouds
143,Marsabit,KE,2.3284,37.9899,61.86,76,75,20.4,broken clouds
144,Ochakiv,UA,46.6128,31.5498,54.0,66,7,14.67,clear sky
145,Esperance,AU,-33.8667,121.9,61.14,65,0,15.55,clear sky
146,Hasaki,JP,35.7333,140.8333,68.29,75,100,18.32,overcast clouds
147,Viransehir,TR,37.2353,39.7631,77.31,23,2,8.46,clear sky
148,Hermanus,ZA,-34.4187,19.2345,51.8,76,7,5.77,clear sky
149,Puerto Escondido,MX,15.85,-97.0667,78.48,90,100,6.06,overcast clouds
