City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Morehead,US,2022-09-15 21:25:12,37.2711,-87.1764,82.99,54,0,6.91
112,Bredasdorp,ZA,2022-09-15 21:28:47,-34.5322,20.0403,55.06,93,100,3.36
113,Antropovo,RU,2022-09-15 21:28:48,58.3988,43.0066,48.42,99,100,3.44
114,Henties Bay,NA,2022-09-15 21:28:48,-22.116,14.2845,57.51,93,72,3.94
115,Batagay,RU,2022-09-15 21:28:48,67.6333,134.6333,33.08,83,98,2.86
116,Veraval,IN,2022-09-15 21:28:49,20.9,70.3667,79.79,89,100,11.95
117,Sorong,ID,2022-09-15 21:28:49,-0.8833,131.25,79.16,79,7,1.01
118,Teahupoo,PF,2022-09-15 21:28:49,-17.8333,-149.2667,76.96,73,59,22.08
119,Guiyang,CN,2022-09-15 21:28:50,26.5833,106.7167,66.69,100,40,2.24
120,Ganzhou,CN,2022-09-15 21:28:50,28.8184,115.4327,70.72,73,0,3.31
121,Port Macquarie,AU,2022-09-15 21:27:44,-31.4333,152.9167,62.89,94,87,10.36
122,Olafsvik,IS,2022-09-15 21:28:51,64.8945,-23.7142,47.41,66,100,3.06
123,Batamshinskiy,KZ,2022-09-15 21:28:51,50.5594,58.2747,58.96,32,97,11.41
124,Edd,ER,2022-09-15 21:28:51,13.9297,41.6925,90.75,58,10,7.2
125,Vao,NC,2022-09-15 21:28:52,-22.6667,167.4833,67.73,61,13,10.51
126,Chapais,CA,2022-09-15 21:28:52,49.7834,-74.8492,46.18,47,88,10.07
127,Vanimo,PG,2022-09-15 21:28:52,-2.6741,141.3028,76.96,90,58,5.37
128,Faanui,PF,2022-09-15 21:28:53,-16.4833,-151.75,77.92,75,36,24.18
129,Alpine,US,2022-09-15 21:28:53,32.835,-116.7664,84.38,46,0,10.36
130,Iqaluit,CA,2022-09-15 21:28:53,63.7506,-68.5145,47.93,66,75,8.05
131,Katherine,AU,2022-09-15 21:28:54,-14.4667,132.2667,77.32,73,24,5.75
132,Cabra,ES,2022-09-15 21:28:54,37.4725,-4.4421,69.42,64,4,2.13
133,Belmonte,BR,2022-09-15 21:28:54,-15.8631,-38.8828,74.89,86,0,10.45
134,Ayan,RU,2022-09-15 21:28:55,56.45,138.1667,48.51,60,96,10.92
135,Teonthar,IN,2022-09-15 21:28:55,24.9833,81.65,78.51,86,100,16.31
136,Ponta Do Sol,PT,2022-09-15 21:28:56,32.6667,-17.1,77.63,88,6,5.26
137,Adrar,MR,2022-09-15 21:28:56,20.5022,-10.0711,96.13,17,0,9.86
138,Talcahuano,CL,2022-09-15 21:28:56,-36.7167,-73.1167,56.88,77,100,8.05
139,Matola,MZ,2022-09-15 21:28:57,-25.9622,32.4589,70.52,88,0,9.22
140,Lompoc,US,2022-09-15 21:28:57,34.6391,-120.4579,82.69,66,0,16.11
141,Buala,SB,2022-09-15 21:29:58,-8.145,159.5921,81.79,68,8,8.84
142,Porgera,PG,2022-09-15 21:29:58,-5.4667,143.2,40.96,98,24,1.68
143,Airai,TL,2022-09-15 21:29:58,-8.9266,125.4092,58.1,67,100,2.37
144,Bengkulu,ID,2022-09-15 21:29:59,-3.8004,102.2655,74.23,91,100,3.71
145,Otane,NZ,2022-09-15 21:29:59,-39.8833,176.6333,48.54,80,0,3.6
146,Tiksi,RU,2022-09-15 21:30:00,71.6872,128.8694,35.15,75,100,15.79
147,Cabo San Lucas,MX,2022-09-15 21:25:51,22.8909,-109.9124,92.61,66,20,8.05
